run,method,seed,orig_n12,orig_long7,orig_ext5,gpt_n12,gpt_long7,gpt_ext5
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,10.66,11.84,9.00,21.41,17.91,26.32
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,12.71,16.73,7.08,22.66,24.18,20.52
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,12.51,16.35,7.13,22.03,23.40,20.11
G1-BGE-M3-INFONCE-s42,G1-BGE-M3-INFONCE,42,12.67,16.62,7.15,22.29,23.85,20.12
G1-BGE-M3-LAMBDALOSS-Seed2026-s2026,G1-BGE-M3-LAMBDALOSS,2026,11.49,14.93,6.67,18.97,21.62,15.26
G1-BGE-M3-LAMBDALOSS-Seed3407-s3407,G1-BGE-M3-LAMBDALOSS,3407,11.33,14.66,6.66,18.60,21.14,15.04
G1-BGE-M3-LAMBDALOSS-s42,G1-BGE-M3-LAMBDALOSS,42,11.38,14.67,6.78,18.64,21.19,15.07
G1-BGE-M3-RELER-Seed2026-s2026,G1-BGE-M3-RELER,2026,14.54,20.94,5.58,26.11,29.90,20.82
G1-BGE-M3-RELER-Seed3407-s3407,G1-BGE-M3-RELER,3407,14.46,20.55,5.95,26.09,29.19,21.75
G1-BGE-M3-RELER-s42,G1-BGE-M3-RELER,42,14.48,20.70,5.77,26.01,29.47,21.16
