backbone,method,query_set,status,expected_runs,completed_runs,mean,sample_sd,biology_mean,biology_sd,earth_science_mean,earth_science_sd,economics_mean,economics_sd,psychology_mean,psychology_sd,robotics_mean,robotics_sd,stackoverflow_mean,stackoverflow_sd,sustainable_living_mean,sustainable_living_sd,pony_mean,pony_sd,leetcode_mean,leetcode_sd,aops_mean,aops_sd,theoremqa_theorems_mean,theoremqa_theorems_sd,theoremqa_questions_mean,theoremqa_questions_sd
4b,e0,gpt4-reasoning,complete,1,1,22.01125,,28.057,,39.561,,22.649,,31.373,,15.359,,18.822,,21.851000000000003,,2.9080000000000004,,21.071,,3.077,,38.917,,20.49,
4b,infonce,gpt4-reasoning,complete,3,3,30.289166666666667,0.3542761399435942,51.321666666666665,1.0800334871351578,49.93966666666667,0.1450735445673513,31.237333333333332,0.42750243664022947,42.15866666666667,0.5267649697287511,25.410333333333334,1.2650756235630094,38.82566666666666,0.8008160421303596,35.502,0.7136301563134811,9.668,0.642380728228984,14.729999999999999,0.5432411987322032,3.0873333333333335,0.15602991166226196,40.806,1.414055161583167,20.783333333333335,0.347023534264369
4b,lambdaloss,gpt4-reasoning,complete,3,3,25.689611111111113,0.24644573908837303,35.40766666666667,0.3711769568997144,39.286,0.8253259961978642,25.452,0.16893489870361209,36.291333333333334,0.9810832448540419,22.549,1.044534346012614,29.787,0.15228591530407593,29.765333333333334,0.2070853286288845,7.850333333333333,0.9755810234590122,17.841,1.0503956397472338,3.284666666666667,0.1827192746628919,39.881,0.7884484764396481,20.88,0.6778945345700905
4b,reler,gpt4-reasoning,complete,3,3,31.07075,0.39272117795086114,52.46633333333333,1.119321371784412,51.239,1.827126432406906,32.24966666666666,0.6280337039788014,45.29633333333334,0.6463097812452883,26.767666666666667,1.440611791334964,38.248333333333335,1.0767127441120687,33.29266666666667,0.5773580633656493,14.685333333333334,1.2301976805917554,12.736,1.0638815723566224,3.8573333333333335,0.3578607736722946,42.627,0.5788324455315194,19.383333333333333,0.90803432387401
06b,e0,gpt4-reasoning,complete,1,1,20.378083333333333,,27.622000000000003,,36.325,,24.146,,28.198,,13.491,,17.325,,19.782,,3.245,,18.590999999999998,,2.077,,36.796,,16.939,
06b,infonce,gpt4-reasoning,complete,3,3,26.514888888888887,0.09736644461536592,40.133,1.3769774871071778,46.559666666666665,1.522984022678285,29.686,0.7859052105693174,39.842333333333336,0.11906860767361509,21.420666666666666,0.5305528563049438,34.882,0.6155298530534494,29.743,0.9283894656877566,6.7843333333333335,0.9403325652838643,8.787333333333335,0.4864836413830719,3.118333333333333,0.13514930015850365,38.15266666666667,0.15820977635194441,19.069333333333333,0.5200791606412759
06b,lambdaloss,gpt4-reasoning,complete,3,3,23.966722222222224,0.36352098874653527,34.853,1.920333044031684,38.028333333333336,0.3592524646169225,28.05766666666667,0.7419058790259938,35.50266666666666,0.7929718364061424,18.329,0.2105017814651455,27.675666666666665,0.9725267776947482,28.782666666666664,0.21537486699550581,3.5036666666666667,0.3861623147503305,12.637666666666666,0.32635308077806374,3.1590000000000003,0.111216006042296,36.306666666666665,0.10645343269868585,20.764666666666667,0.2387934951654534
06b,reler,gpt4-reasoning,complete,3,3,27.14961111111111,0.044708339805321226,48.126,0.2370253151036807,48.928333333333335,0.2014853179100987,30.693333333333335,0.38523931955777135,41.108333333333334,0.4371914149812803,18.834,0.5457178758296276,33.028666666666666,1.2349219948374615,26.543333333333337,0.04916638417997903,6.871666666666667,0.7210896846671251,9.815,0.5338576589316665,2.875,0.2281994741448808,39.22833333333333,0.35912439813152636,19.743333333333332,0.06232442004008864
bge-m3,e0,gpt4-reasoning,complete,1,1,21.448416666666667,,28.304000000000002,,38.098,,23.119999999999997,,34.823,,15.007000000000001,,23.921,,18.407999999999998,,24.284,,11.57,,1.5230000000000001,,24.022,,14.301,
bge-m3,infonce,gpt4-reasoning,complete,3,3,20.615694444444447,0.08991903508362613,37.062000000000005,0.5099911763942618,42.931,0.6068863155484681,23.525333333333336,0.5060951820886389,30.823333333333334,0.23637752290210176,17.419,0.2739945254927536,21.766000000000002,0.2933325757565973,23.776666666666667,0.38932291652731266,19.766666666666666,0.3828972882292765,4.2780000000000005,0.35109542862304527,1.089,0.13218169313486638,12.991666666666667,0.23618918970463793,11.959666666666667,0.17534347245715554
bge-m3,lambdaloss,gpt4-reasoning,complete,3,3,19.12875,0.10278875316773448,38.705,0.424215746996737,42.739666666666665,0.48234669412501663,22.242,0.2924927349525106,25.674000000000003,0.8827553454950015,14.974666666666666,0.24188082464993502,19.299,0.4672825697583834,23.002666666666666,0.10546247357867712,17.698999999999998,0.9762177011302337,9.032666666666668,0.23652765870682713,1.9553333333333334,0.11073090505063775,5.960666666666667,0.5239965012605844,8.260333333333334,0.005033222956848024
bge-m3,reler,gpt4-reasoning,complete,3,3,23.840194444444446,0.06936419251821235,44.67,0.38231793052379776,47.289,0.19613515748075014,25.536666666666665,0.09670746265585495,38.16366666666667,0.16866040831603926,17.983333333333334,0.1977532132060904,24.74066666666667,0.28486897572977865,23.883,0.24286004199950106,29.983999999999998,0.5653414897210352,1.4783333333333333,0.07574518686578924,1.0813333333333333,0.09408683932056246,19.387333333333334,0.10217794934981445,11.885,0.09073588044428613
