run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-A-MRRAlign090-s42,1,0,1,22.01,22.01,22.01,22.01,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-MRRAlign090-s42/mteb_eval/bright/iclr2027__G1-A-MRRAlign090-s42/no_revision_available
G1-A-MRRAlign095-s42,1,0,1,19.88,19.88,19.88,19.88,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-MRRAlign095-s42/mteb_eval/bright/iclr2027__G1-A-MRRAlign095-s42/no_revision_available
G1-A-BinaryNDCGAlign090-s42,1,0,1,19.84,19.84,19.84,19.84,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-BinaryNDCGAlign090-s42/mteb_eval/bright/iclr2027__G1-A-BinaryNDCGAlign090-s42/no_revision_available
G1-A-BinaryNDCGAlign095-s42,1,0,1,19.54,19.54,19.54,19.54,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-BinaryNDCGAlign095-s42/mteb_eval/bright/iclr2027__G1-A-BinaryNDCGAlign095-s42/no_revision_available
G1-J-LL-Scaled-s42,1,0,1,19.5,19.5,19.5,19.5,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-J-LL-Scaled-s42/mteb_eval/bright/iclr2027__G1-J-LL-Scaled-s42/no_revision_available
G1-A-MRR-s42,1,0,1,19.21,19.21,19.21,19.21,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-MRR-s42/mteb_eval/bright/iclr2027__G1-A-MRR-s42/no_revision_available
G1-J-RL-MRRSmall-s42,1,0,1,19.14,19.14,19.14,19.14,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-J-RL-MRRSmall-s42/mteb_eval/bright/iclr2027__G1-J-RL-MRRSmall-s42/no_revision_available
G1-A-FixedSmall-s42,1,0,1,18.98,18.98,18.98,18.98,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-FixedSmall-s42/mteb_eval/bright/iclr2027__G1-A-FixedSmall-s42/no_revision_available
G1-A-NDCGAlign095-s42,1,0,1,18.9,18.9,18.9,18.9,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-NDCGAlign095-s42/mteb_eval/bright/iclr2027__G1-A-NDCGAlign095-s42/no_revision_available
G1-A-NDCGAlign090-s42,1,0,1,18.71,18.71,18.71,18.71,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-NDCGAlign090-s42/mteb_eval/bright/iclr2027__G1-A-NDCGAlign090-s42/no_revision_available
G1-A-MRRAlign040-s42,1,0,1,18.56,18.56,18.56,18.56,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-MRRAlign040-s42/mteb_eval/bright/iclr2027__G1-A-MRRAlign040-s42/no_revision_available
G1-A-Gaussion-s42,1,0,1,18.45,18.45,18.45,18.45,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-Gaussion-s42/mteb_eval/bright/iclr2027__G1-A-Gaussion-s42/no_revision_available
