run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-R2-CL-Strong-Seed2026-s2026,1,0,1,22.87,22.87,22.87,22.87,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-CL-Strong-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-CL-Strong-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-CL-Strong-Seed3407-s3407,1,0,1,22.56,22.56,22.56,22.56,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-CL-Strong-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-CL-Strong-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-CL-Strong-s42,1,0,1,22.5,22.5,22.5,22.5,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-CL-Strong-s42/mteb_eval/bright/iclr2027-r2__G1-R2-CL-Strong-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Seed3407-s3407,1,0,1,21.15,21.15,21.15,21.15,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align080-Seed3407-s3407,1,0,1,20.98,20.98,20.98,20.98,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align080-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align080-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed2026-s2026,1,0,1,20.94,20.94,20.94,20.94,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed3407-s3407,1,0,1,20.89,20.89,20.89,20.89,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Anneal080090-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align095-Seed3407-s3407,1,0,1,20.83,20.83,20.83,20.83,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align095-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align095-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Seed2026-s2026,1,0,1,20.75,20.75,20.75,20.75,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align080-s42,1,0,1,20.71,20.71,20.71,20.71,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align080-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align080-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG32-CP-Seed3407-s3407,1,0,1,20.7,20.7,20.7,20.7,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG32-CP-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG32-CP-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align065-Seed2026-s2026,1,0,1,20.69,20.69,20.69,20.69,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align065-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align065-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG32-CP-s42,1,0,1,20.61,20.61,20.61,20.61,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG32-CP-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG32-CP-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed2026-s2026,1,0,1,20.6,20.6,20.6,20.6,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-CrossQuery-s42,1,0,1,20.59,20.59,20.59,20.59,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-CrossQuery-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-CrossQuery-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Anneal080090-s42,1,0,1,20.58,20.58,20.58,20.58,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Anneal080090-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Anneal080090-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align080-Seed2026-s2026,1,0,1,20.58,20.58,20.58,20.58,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align080-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align080-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align065-Seed3407-s3407,1,0,1,20.5,20.5,20.5,20.5,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align065-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align065-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed3407-s3407,1,0,1,20.48,20.48,20.48,20.48,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-CrossQuery-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align095-Seed2026-s2026,1,0,1,20.48,20.48,20.48,20.48,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align095-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align095-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align053-Seed2026-s2026,1,0,1,20.46,20.46,20.46,20.46,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align053-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align053-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align065-s42,1,0,1,20.45,20.45,20.45,20.45,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align065-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align065-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align095-s42,1,0,1,20.36,20.36,20.36,20.36,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align095-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align095-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-s42,1,0,1,20.27,20.27,20.27,20.27,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align053-s42,1,0,1,20.27,20.27,20.27,20.27,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align053-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align053-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align098-Seed3407-s3407,1,0,1,20.23,20.23,20.23,20.23,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align098-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align098-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align098-s42,1,0,1,20.22,20.22,20.22,20.22,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align098-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align098-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align098-Seed2026-s2026,1,0,1,20.1,20.1,20.1,20.1,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align098-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align098-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align053-Seed3407-s3407,1,0,1,19.9,19.9,19.9,19.9,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align053-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align053-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG32-CP-Seed2026-s2026,1,0,1,19.89,19.89,19.89,19.89,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG32-CP-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG32-CP-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
