run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
Q4B-LORA-InfoNCE-s42,1,0,1,30.17,30.17,30.17,30.17,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-InfoNCE-Seed3407-s3407,1,0,1,30.17,30.17,30.17,30.17,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-InfoNCE-Seed2026-s2026,1,0,1,29.89,29.89,29.89,29.89,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Seed3407-s3407,1,0,1,29.14,29.14,29.14,29.14,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Seed2026-s2026,1,0,1,29.02,29.02,29.02,29.02,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-s42,1,0,1,28.85,28.85,28.85,28.85,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-LambdaLoss-s42,1,0,1,25.44,25.44,25.44,25.44,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-LambdaLoss-Seed2026-s2026,1,0,1,24.85,24.85,24.85,24.85,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-LambdaLoss-Seed3407-s3407,1,0,1,24.76,24.76,24.76,24.76,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-E0-s42,1,0,1,18.7,18.7,18.7,18.7,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b
