run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,1,0,1,29.92,29.92,29.92,29.92,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,1,0,1,29.81,29.81,29.81,29.81,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-LR200-s42,1,0,1,29.79,29.79,29.79,29.79,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-LR200-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-LR200-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,1,0,1,29.42,29.42,29.42,29.42,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-K3-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-K3-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,1,0,1,29.36,29.36,29.36,29.36,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-K3-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-K3-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-K3-s42,1,0,1,29.23,29.23,29.23,29.23,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-K3-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-K3-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-Align065-Seed2026-s2026,1,0,1,29.17,29.17,29.17,29.17,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-Align065-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-Align065-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-Align065-Seed3407-s3407,1,0,1,29.16,29.16,29.16,29.16,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-Align065-Seed3407-s3407/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-Align065-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-Align080-Seed2026-s2026,1,0,1,29.05,29.05,29.05,29.05,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-Align080-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-Align080-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-Align065-s42,1,0,1,29.05,29.05,29.05,29.05,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-Align065-s42/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-Align065-s42-merged__tokens-v2__pool-fp32/no_revision_available
Q4B-LORA-RELER-Cal-K15-Seed2026-s2026,1,0,1,28.82,28.82,28.82,28.82,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora-calibration/Q4B-LORA-RELER-Cal-K15-Seed2026-s2026/mteb_eval/bright/iclr2027-qwen3-embedding-4b-lora-calibration__Q4B-LORA-RELER-Cal-K15-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available
