run,task,subset,score
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,biology,47.19
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,earth_science,48.99
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,economics,32.22
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,psychology,44.01
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,robotics,26.04
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,stackoverflow,32.94
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,sustainable_living,33.32
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,pony,6.79
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,leetcode,14.49
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,aops,3.71
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,47.61
Q4B-LORA-RELER-Cal-LR200-Seed2026-s2026,BrightRetrieval,theoremqa_questions,21.8
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,biology,46.16
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,earth_science,48.46
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,economics,31.03
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,psychology,41.46
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,robotics,26.16
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,stackoverflow,32.41
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,sustainable_living,34.88
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,pony,9.38
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,leetcode,14.03
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,aops,4.24
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,48.21
Q4B-LORA-RELER-Cal-LR200-Seed3407-s3407,BrightRetrieval,theoremqa_questions,21.28
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,biology,46.73
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,earth_science,48.44
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,economics,32.3
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,psychology,42.46
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,robotics,22.79
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,stackoverflow,32.7
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,sustainable_living,33.52
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,pony,8.92
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,leetcode,15.21
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,aops,3.28
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,theoremqa_theorems,49.06
Q4B-LORA-RELER-Cal-LR200-s42,BrightRetrieval,theoremqa_questions,22.09
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,biology,44.95
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,earth_science,46.89
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,economics,31.71
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,psychology,43.75
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,robotics,23.34
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,stackoverflow,31.77
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,sustainable_living,35.55
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,pony,8.36
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,leetcode,14.22
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,aops,3.76
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,46.68
Q4B-LORA-RELER-Cal-K3-Seed3407-s3407,BrightRetrieval,theoremqa_questions,22.06
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,biology,44.51
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,earth_science,47.13
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,economics,31.51
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,psychology,43.19
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,robotics,23.33
Q4B-LORA-RELER-Cal-K3-Seed2026-s2026,BrightRetrieval,stackoverflow,32.4
