method,n_seeds,orig_n12_mean,orig_n12_sd,orig_long7_mean,gpt_n12_mean,gpt_n12_sd,gpt_long7_mean,delta_n12
G1-R2-CL-Strong,3,22.64,0.20,29.32,37.38,0.08,47.65,14.74
G1-R2-E0,1,15.10,0.00,16.25,27.00,0.00,29.15,11.90
G1-R2-LL-Graded,3,19.36,0.28,23.59,31.61,0.43,38.44,12.25
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3,23.36,0.25,31.47,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1,3,22.72,0.18,29.80,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR,3,18.90,0.43,23.42,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG,3,17.45,0.65,21.74,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050,3,23.38,0.17,31.25,37.23,0.38,47.60,13.85
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100,3,22.57,0.18,30.02,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1,3,22.69,0.11,29.74,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050,3,23.25,0.05,30.95,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1,3,22.24,0.27,28.72,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050,3,22.83,0.30,29.78,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K3-T1,3,22.61,0.07,29.50,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1,3,22.48,0.09,29.10,,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050,3,23.04,0.20,30.20,,,,
G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050,3,23.46,0.25,31.25,,,,
G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050,3,23.17,0.19,30.49,,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly,3,18.45,1.56,22.10,,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired,3,18.71,0.53,22.55,,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly,3,15.85,0.26,17.92,,,,
G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1,3,20.85,0.68,26.22,,,,
