run,method,seed,orig_n12,orig_long7,orig_ext5,gpt_n12,gpt_long7,gpt_ext5
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,22.87,29.72,13.27,37.46,47.82,22.95
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,22.56,29.06,13.45,37.30,47.38,23.19
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,22.50,29.18,13.13,37.38,47.74,22.87
G1-R2-E0-s42,G1-R2-E0,42,15.10,16.25,13.49,27.00,29.15,23.99
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,19.67,24.02,13.56,31.68,38.53,22.07
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,19.30,23.36,13.60,32.00,38.86,22.40
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,19.13,23.37,13.19,31.15,37.93,21.66
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,23.34,31.32,12.18,,,
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,23.62,31.91,12.02,,,
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,23.12,31.18,11.83,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR,2026,18.94,23.34,12.77,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR,3407,18.45,23.03,12.04,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryMRR,42,19.30,23.87,12.91,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG,2026,16.76,20.45,11.60,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG,3407,18.04,22.63,11.62,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-BinaryNDCG,42,17.54,22.14,11.10,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050,2026,23.29,31.02,12.46,36.85,46.91,22.76
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050,3407,23.57,31.56,12.38,37.60,48.09,22.91
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050,42,23.27,31.15,12.23,37.23,47.80,22.44
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100,2026,22.64,30.08,12.23,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100,3407,22.37,29.61,12.22,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise100,42,22.70,30.38,11.95,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1,2026,22.77,29.64,13.16,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1,3407,22.53,29.58,12.66,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1,42,22.87,30.17,12.65,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050,2026,23.21,30.84,12.54,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050,3407,23.30,31.08,12.41,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Pairwise050,42,23.24,30.93,12.46,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1,2026,22.77,29.68,13.10,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1,3407,22.56,29.64,12.64,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K1-T1,42,22.73,29.91,12.67,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050,2026,22.82,29.77,13.09,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050,3407,22.54,29.33,13.04,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Pairwise050,42,23.14,30.25,13.18,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1,2026,22.39,28.77,13.46,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1,3407,21.94,28.37,12.94,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K15-T1,42,22.41,29.04,13.12,,,
