run,method,seed,orig_n12,orig_long7,orig_ext5,gpt_n12,gpt_long7,gpt_ext5
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,18.70,19.58,17.48,30.78,33.37,27.15
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,29.89,37.81,18.80,39.35,49.25,25.50
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,30.17,38.33,18.75,40.48,51.49,25.06
Q4B-LORA-InfoNCE-s42,Q4B-LORA-InfoNCE,42,30.17,38.34,18.74,39.89,50.26,25.37
Q4B-LORA-LambdaLoss-Seed2026-s2026,Q4B-LORA-LambdaLoss,2026,24.85,29.63,18.16,34.80,41.87,24.90
Q4B-LORA-LambdaLoss-Seed3407-s3407,Q4B-LORA-LambdaLoss,3407,24.76,29.75,17.76,34.42,41.54,24.46
Q4B-LORA-LambdaLoss-s42,Q4B-LORA-LambdaLoss,42,25.44,30.19,18.78,35.87,43.15,25.67
Q4B-LORA-RELER-K0-Seed2026-s2026,Q4B-LORA-RELER-K0,2026,30.33,38.20,19.30,39.59,50.28,24.62
Q4B-LORA-RELER-K0-Seed3407-s3407,Q4B-LORA-RELER-K0,3407,31.06,39.51,19.22,40.30,51.44,24.71
Q4B-LORA-RELER-K0-s42,Q4B-LORA-RELER-K0,42,29.98,37.65,19.25,40.11,50.71,25.27
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,Q4B-LORA-RELER-NoPairwise-CP,2026,28.17,34.92,18.72,,,
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,Q4B-LORA-RELER-NoPairwise-CP,3407,28.08,34.88,18.56,,,
Q4B-LORA-RELER-NoPairwise-CP-s42,Q4B-LORA-RELER-NoPairwise-CP,42,27.71,34.00,18.91,,,
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,Q4B-LORA-RELER-NoPairwise-RLOO,2026,23.95,28.32,17.83,,,
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,Q4B-LORA-RELER-NoPairwise-RLOO,3407,24.06,28.31,18.11,,,
Q4B-LORA-RELER-NoPairwise-RLOO-s42,Q4B-LORA-RELER-NoPairwise-RLOO,42,24.42,28.71,18.41,,,
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,Q4B-LORA-RELER-NoRescale,2026,28.38,35.47,18.45,,,
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,Q4B-LORA-RELER-NoRescale,3407,27.73,34.50,18.25,,,
Q4B-LORA-RELER-NoRescale-s42,Q4B-LORA-RELER-NoRescale,42,27.55,34.23,18.20,,,
Q4B-LORA-RELER-Seed2026-s2026,Q4B-LORA-RELER,2026,29.02,36.20,18.95,,,
Q4B-LORA-RELER-Seed3407-s3407,Q4B-LORA-RELER,3407,29.14,36.42,18.96,,,
Q4B-LORA-RELER-s42,Q4B-LORA-RELER,42,28.85,35.99,18.84,,,
