draw,estimator,x_signal_axis,y_noise_axis,signal_axis_dot,noise_axis_dot
0,rloo,-0.564311,1.37107,18.968,46.0851
1,rloo,3.13689,-0.989308,-105.439,-33.2532
2,rloo,1.54935,0.473792,-52.0776,15.9254
3,rloo,1.44823,2.73842,-48.6789,92.0457
4,rloo,5.64558,0.753511,-189.763,25.3275
5,rloo,5.50187,-0.920698,-184.932,-30.9471
6,rloo,-0.377686,0.0830176,12.695,2.79044
7,rloo,-0.04667,-0.0220706,1.5687,-0.741851
8,rloo,3.31287,-2.08222,-111.354,-69.9889
9,rloo,-0.352768,-1.05171,11.8575,-35.3506
10,rloo,1.45432,4.64791,-48.8834,156.228
11,rloo,0.841394,2.29287,-28.2815,77.0694
12,rloo,0.405856,-0.30033,-13.6419,-10.0949
13,rloo,-0.475152,-0.892465,15.9711,-29.9981
14,rloo,0.682998,-1.80725,-22.9574,-60.7466
15,rloo,2.54204,2.35645,-85.4446,79.2064
16,rloo,-1.90673,1.78225,64.0901,59.9061
17,rloo,1.58578,-1.18092,-53.3021,-39.694
18,rloo,0.929651,-0.901882,-31.248,-30.3146
19,rloo,1.38528,2.45541,-46.5628,82.5327
20,rloo,1.73507,1.48708,-58.3204,49.9845
21,rloo,1.19324,-2.69113,-40.108,-90.4559
22,rloo,0.833801,-2.1237,-28.0263,-71.3833
23,rloo,0.825531,-1.49571,-27.7483,-50.2747
24,rloo,0.887816,2.38207,-29.8418,80.0676
25,rloo,4.72821,0.537606,-158.927,18.0703
26,rloo,2.94228,2.37367,-98.8977,79.7853
27,rloo,0.952634,1.27446,-32.0205,42.8378
28,rloo,1.35031,0.159669,-45.3873,5.3669
29,rloo,2.2446,0.0199715,-75.447,0.671294
30,rloo,1.60375,-2.29096,-53.9061,-77.0052
31,rloo,-0.0382386,-0.345881,1.2853,-11.626
32,rloo,1.62265,-1.11222,-54.5415,-37.3848
33,rloo,3.12832,-2.66651,-105.151,-89.6284
34,rloo,-0.367471,-2.83768,12.3517,-95.3818
35,rloo,-2.4584,-0.89378,82.6335,-30.0423
36,rloo,-0.431071,-0.181181,14.4894,-6.08998
37,rloo,0.904638,2.50662,-30.4073,84.2541
38,rloo,0.0249825,-0.618269,-0.839729,-20.7816
39,rloo,1.34307,1.0888,-45.1443,36.5973
40,rloo,1.75449,-1.16918,-58.9729,-39.2991
41,rloo,1.9978,-0.510085,-67.1514,-17.1453
42,rloo,3.4059,0.386669,-114.481,12.997
43,rloo,1.42992,0.762281,-48.0634,25.6223
44,rloo,-0.21767,1.42461,7.31647,47.8849
45,rloo,0.0384914,0.561553,-1.2938,18.8753
46,rloo,0.100361,1.98751,-3.37341,66.8056
47,rloo,1.78403,2.92905,-59.966,98.4531
48,rloo,2.22477,-0.660785,-74.7803,-22.2107
49,rloo,-0.0905407,0.187492,3.04331,6.3021
50,rloo,-0.0766187,-1.07358,2.57536,-36.0859
51,rloo,2.04561,0.440304,-68.7585,14.7998
52,rloo,1.71772,-1.82897,-57.7372,-61.4766
53,rloo,1.09673,-0.818447,-36.8638,-27.5102
54,rloo,-1.73707,2.68552,58.3875,90.2676
55,rloo,0.868509,1.7448,-29.1929,58.6475
56,rloo,-0.0151024,2.55559,0.507633,85.9002
57,rloo,0.579613,1.07776,-19.4823,36.2263
58,rloo,-0.0824986,-0.0730992,2.77299,-2.45706
59,rloo,-0.333888,-1.80586,11.2229,-60.6997
60,rloo,1.69383,0.057003,-56.9342,1.91602
61,rloo,2.34025,1.41762,-78.6618,47.65
62,rloo,0.960909,-0.961205,-32.2987,-32.3086
63,rloo,2.31112,-2.0071,-77.6827,-67.4639
0,cmp,1.09912,0.0983215,-36.9444,3.30485
1,cmp,0.970709,-0.203641,-32.6281,-6.8449
2,cmp,0.961016,-0.119725,-32.3023,-4.02428
3,cmp,0.931957,-0.0617938,-31.3255,-2.07705
4,cmp,1.05488,-0.130726,-35.4572,-4.39406
5,cmp,0.886128,-0.100534,-29.7851,-3.37922
6,cmp,1.01266,-0.0669435,-34.0381,-2.25015
7,cmp,1.07149,0.0188849,-36.0157,0.634772
8,cmp,0.934567,-0.224818,-31.4132,-7.55671
9,cmp,0.94883,-0.123701,-31.8927,-4.15792
10,cmp,1.0763,-0.0163501,-36.1774,-0.549571
11,cmp,0.971011,-0.0826036,-32.6382,-2.77653
12,cmp,0.867727,-0.100324,-29.1666,-3.37215
13,cmp,0.999625,-0.0529913,-33.6,-1.78118
14,cmp,1.12682,-0.195676,-37.8753,-6.57718
15,cmp,1.02691,-0.135909,-34.5171,-4.56825
16,cmp,1.00125,-0.0804883,-33.6546,-2.70542
17,cmp,0.88587,-0.123754,-29.7764,-4.1597
18,cmp,0.909533,0.0952242,-30.5718,3.20074
19,cmp,1.02388,-0.106976,-34.4154,-3.59573
20,cmp,0.948108,-0.0844997,-31.8684,-2.84026
21,cmp,1.07377,-0.190229,-36.0922,-6.39409
22,cmp,0.968254,-0.157414,-32.5456,-5.29109
23,cmp,0.97908,-0.225709,-32.9095,-7.58667
24,cmp,0.954145,-0.0347297,-32.0713,-1.16736
25,cmp,0.957522,-0.0697673,-32.1849,-2.34506
26,cmp,1.07668,-0.0407681,-36.1901,-1.37032
27,cmp,1.11606,-0.120357,-37.5137,-4.04552
28,cmp,0.908311,-0.0666161,-30.5307,-2.23914
29,cmp,0.92716,-0.0514862,-31.1643,-1.73059
30,cmp,1.01071,-0.136228,-33.9728,-4.57897
31,cmp,1.13897,-0.085095,-38.2836,-2.86027
32,cmp,0.983986,-0.137717,-33.0744,-4.62903
33,cmp,1.06561,-0.163874,-35.8179,-5.50825
34,cmp,0.862235,-0.0979289,-28.982,-3.29165
35,cmp,0.990058,-0.127425,-33.2785,-4.28309
36,cmp,0.891403,-0.134161,-29.9624,-4.50952
37,cmp,0.892495,-0.134064,-29.9991,-4.50626
38,cmp,0.910759,-0.116931,-30.613,-3.93035
39,cmp,1.02365,-0.1333,-34.4076,-4.48055
40,cmp,0.922349,-0.0306793,-31.0026,-1.03121
41,cmp,1.17276,-0.185781,-39.4196,-6.2446
42,cmp,1.05582,0.0538504,-35.4889,1.81005
43,cmp,1.11093,-0.11509,-37.3414,-3.86848
44,cmp,1.01987,-0.0109428,-34.2804,-0.367818
45,cmp,0.900954,-0.16152,-30.2834,-5.42912
46,cmp,0.927411,0.0187081,-31.1727,0.628827
47,cmp,0.948495,-0.0882272,-31.8814,-2.96555
48,cmp,0.955049,-0.0793493,-32.1017,-2.66714
49,cmp,1.01978,-0.00401484,-34.2773,-0.134949
50,cmp,1.00125,-0.178264,-33.6545,-5.99191
51,cmp,1.12269,0.0669719,-37.7366,2.2511
52,cmp,1.06021,-0.0776349,-35.6365,-2.60951
53,cmp,1.00839,-0.060571,-33.8947,-2.03595
54,cmp,1.01914,0.0179831,-34.2558,0.60446
55,cmp,1.10918,-0.144293,-37.2824,-4.85008
56,cmp,1.04232,-0.114212,-35.0351,-3.83897
57,cmp,1.04943,-0.109276,-35.2741,-3.67307
58,cmp,0.922272,-0.167575,-31,-5.63263
59,cmp,1.08037,-0.066099,-36.3142,-2.22176
60,cmp,1.04463,-0.0702245,-35.1129,-2.36043
61,cmp,1.13292,-0.117941,-38.0803,-3.96431
62,cmp,0.9589,0.0346553,-32.2311,1.16486
63,cmp,0.975647,-0.16388,-32.7941,-5.50845
