subset,model,query_id,reference_rank_bin,delta_ndcg,delta_mrr,delta_best_positive_score,delta_hardest_unlabelled_score,delta_margin,delta_fixed_margin,delta_fixed_boundary_distance,delta_fixed_mean_positive_cosine,query_neighbor_retention
biology,E0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,1,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,101,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,102,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,11,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,12,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,13,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,15,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,16,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,17,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,18,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,19,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,2,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,20,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,21,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,22,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,23,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,26,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,27,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,28,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,29,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,31,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,32,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,33,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,34,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,35,2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,36,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,37,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,38,11-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biology,E0,39,101+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
