subset,model,reference_rank_bin,queries,delta_ndcg,delta_mrr,delta_best_positive_score,delta_hardest_unlabelled_score,delta_margin,delta_fixed_margin,delta_fixed_boundary_distance,delta_fixed_mean_positive_cosine
biology,E0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biology,E0,2-10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biology,E0,11-100,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biology,E0,101+,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biology,InfoNCE,1,14,-0.09987881212292714,-0.32738095238095244,0.204901180097035,0.24764541855880193,-0.04274423846176693,0.013209751674107142,0.039441975105421904,0.2778588320527758
biology,InfoNCE,2-10,22,0.2995343431856,0.4362373737373737,0.2538077560338107,0.20198237083174966,0.05182538520206104,0.09728375619108026,0.12896374054671123,0.29019794951785693
biology,InfoNCE,11-100,34,0.3586139216440815,0.4625350140056023,0.3057235952685861,0.1940051843138302,0.11171841095475589,0.19444064620663137,0.20956511747467005,0.3314342402360019
biology,InfoNCE,101+,33,0.10209313272243457,0.10912698412698413,0.3576520121458805,0.19173483234463315,0.16591717980124734,0.2700143695780725,0.2391237296748479,0.363606742385662
biology,LambdaLoss,1,14,-0.06153385592671749,-0.32015306122448983,0.2719137328011649,0.30894939601421356,-0.037035663213048665,-0.023644634655543735,0.000841405095004607,0.36476130144936697
biology,LambdaLoss,2-10,22,0.1636852565213171,0.2605880230880231,0.2994980243119327,0.256971077485518,0.04252694682641463,0.048329545692964035,0.053330173250612026,0.3553544878959656
biology,LambdaLoss,11-100,34,0.23094885560417672,0.26771708683473383,0.3623579162008622,0.24998247974059162,0.1123754364602706,0.1300969158901888,0.12993856455799754,0.40132369101047516
biology,LambdaLoss,101+,33,0.012479813346528335,0.008838383838383838,0.4409456560105989,0.2522445736509381,0.18870108235966077,0.21099377446102374,0.14459035994072192,0.46106463715885626
biology,RELER,1,14,-0.010210483983515175,-0.18214285714285713,0.02977992594242096,0.03688134253025055,-0.00710141658782959,0.13463487795421056,0.14369513051365174,0.04270930162497929
biology,RELER,2-10,22,0.39935825946955034,0.5506313131313132,0.06919598850336942,-0.018101529641584915,0.08729751814495433,0.14960695532235233,0.1639796109731384,0.05972054736180739
biology,RELER,11-100,34,0.5239038723318648,0.6580065359477123,0.1190994381904602,-0.011281481560538797,0.130380919750999,0.2767527585520464,0.25898259022912207,0.0997905284166336
biology,RELER,101+,33,0.23659054584777756,0.23665223665223664,0.12137766769438078,-0.01489613272927024,0.13627380042365103,0.3147351448283051,0.2664480587579714,0.10193694089398239
biology,Listwise,1,14,0.039753467180651106,-0.13095238095238096,0.0343230026108878,0.02169823007924216,0.012624772531645638,0.09183468563216073,0.10336240696858331,0.04140807901109968
biology,Listwise,2-10,22,0.3352178280539883,0.516919191919192,0.05775593627582897,-0.014980486848137596,0.07273642312396657,0.09317614409056577,0.10429902549051637,0.04727755080569874
biology,Listwise,11-100,34,0.4553612597186486,0.5903944911297853,0.09791187679066378,-0.016054644304163316,0.11396652109482709,0.19454521817319534,0.18348011710460002,0.08080695657169118
biology,Listwise,101+,33,0.12251308416183712,0.09662097162097161,0.09161447846528256,-0.017735787413337013,0.10935026587861957,0.20813240923664786,0.17995042240256615,0.07670716625271422
earth_science,E0,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earth_science,E0,2-10,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earth_science,E0,11-100,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earth_science,E0,101+,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earth_science,InfoNCE,1,27,-0.13360724327329754,-0.25617283950617287,0.16503281284261634,0.20353574222988552,-0.038502929387269194,0.003399016680540862,0.021796134877912147,0.1977676671964151
earth_science,InfoNCE,2-10,44,0.10144780290485729,0.1916035353535354,0.22247483784502203,0.18678327582099222,0.035691562024029816,0.08404319801113823,0.10365732440524802,0.2605128349228339
earth_science,InfoNCE,11-100,23,0.15724784916864462,0.17263630089717044,0.2570951516213624,0.1815002871596295,0.07559486446173294,0.1184228373610455,0.10627541935863034,0.2856456157953843
earth_science,InfoNCE,101+,22,0.06412574745131995,0.05845959595959596,0.3340674408457496,0.21437972242181952,0.11968771842393008,0.20036299526691437,0.17381757365176329,0.3473325290463187
earth_science,LambdaLoss,1,27,-0.23013183323532013,-0.3653880070546737,0.2201829508498863,0.2708905846984298,-0.05070763384854352,-0.03733191225263807,-0.012943920846616738,0.26931391932346205
earth_science,LambdaLoss,2-10,44,0.01770893113625739,0.10318362193362196,0.2780673178759488,0.24027423560619354,0.03779308226975528,0.047162486748261886,0.048348628950891086,0.3412509350614114
earth_science,LambdaLoss,11-100,23,0.08728551252342234,0.09032091097308488,0.3313509912594505,0.23365130113518756,0.09769969012426294,0.10655899669813074,0.06596465099650431,0.3789209036723427
earth_science,LambdaLoss,101+,22,0.008056331217456716,0.004545454545454546,0.4284308376637372,0.276150183244185,0.15228065441955219,0.17326413094997406,0.10942003235996695,0.4645500508221713
earth_science,RELER,1,27,-0.04921065672448659,-0.11728395061728396,-0.0030934645069970023,-0.02209429939587911,0.019000834888882108,0.13780177081072773,0.11663470176087459,-0.021190168680968107
earth_science,RELER,2-10,44,0.1412920206735203,0.24018759018759014,0.001338015225800601,-0.03009945289655165,0.031437468122352256,0.14672538096254523,0.14645957730382816,-0.028356762094931168
earth_science,RELER,11-100,23,0.19562971208999635,0.26309523809523805,-0.0054380725259366245,-0.04002262975858605,0.03458455723264943,0.10670770056869673,0.10565906776356171,-0.022578132541283318
earth_science,RELER,101+,22,0.11755895503914099,0.1708874458874459,0.03466897931965915,-0.013853829015385021,0.04852280833504417,0.2369525764476169,0.21080852026183267,-0.0030158582058819857
earth_science,Listwise,1,27,-0.012231998500450524,-0.06481481481481481,-0.0065536101659138995,-0.038964670013498376,0.032411059847584474,0.1052393427601567,0.09314311923752282,-0.024603661563661363
earth_science,Listwise,2-10,44,0.12373967728473458,0.23522727272727276,-0.013090094382112677,-0.03981586342508143,0.02672576904296875,0.09263455935499885,0.09544969549829087,-0.03992182185704058
earth_science,Listwise,11-100,23,0.19627251101266988,0.23152173913043478,-0.022151161795077118,-0.0436784521393154,0.02152729034423828,0.0618293065091838,0.06461111072945902,-0.03700818186220915
earth_science,Listwise,101+,22,0.09661359871303672,0.11002886002886002,0.001455642282962799,-0.037102563814683395,0.0385582067749717,0.1607532264156775,0.1496358339105105,-0.02864259041168473
robotics,E0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotics,E0,2-10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotics,E0,11-100,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotics,E0,101+,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotics,InfoNCE,1,11,-0.18454470997883135,-0.33712121212121215,0.0845384651964361,0.12359952384775336,-0.03906105865131725,-0.0006073713302612305,-0.0003588232278373316,0.1289559467272325
robotics,InfoNCE,2-10,14,0.08816500663196784,0.13324829931972793,0.12457227281161717,0.11831196716853551,0.006260305643081665,0.10660837377820696,0.14472004884547754,0.15708173172814505
robotics,InfoNCE,11-100,32,0.25457288549784385,0.3263392857142857,0.1875372715294361,0.10940700583159924,0.07813026569783688,0.15741321444511414,0.1869343744059674,0.21505692042410374
robotics,InfoNCE,101+,44,0.03498950107484783,0.04242424242424243,0.24648319658907977,0.1252670003609224,0.1212161962281574,0.2235748232765631,0.2097312681615958,0.2592612234028903
robotics,LambdaLoss,1,11,-0.2781599251383135,-0.41125541125541126,0.13451809774745593,0.18080987171693283,-0.046291773969476875,-0.04435223340988159,-0.05397787289647225,0.21704180945049634
robotics,LambdaLoss,2-10,14,0.04344275704684336,0.07431972789115647,0.19298326543399266,0.17304611206054688,0.019937153373445784,0.04460287519863674,0.07953178253492277,0.2532442808151245
robotics,LambdaLoss,11-100,32,0.22365467869671934,0.2839161706349206,0.2573895528912544,0.1697081420570612,0.08768141083419323,0.09648322314023972,0.09457090844875804,0.31436043605208397
robotics,LambdaLoss,101+,44,0.022330442750362365,0.017487373737373735,0.3649687340313738,0.1824942190538753,0.18247451497749848,0.19999478554183786,0.1436908999585159,0.3883665542710911
robotics,RELER,1,11,-0.17706154487742276,-0.3522727272727273,-0.06593937765468251,-0.04299982569434426,-0.022939551960338245,0.04691909389062361,0.02896410839202274,-0.0967321666804227
robotics,RELER,2-10,14,0.05079118206868742,0.13681972789115648,-0.05921718903950283,-0.0386145966393607,-0.020602592400142124,0.12105913247380938,0.132233665073787,-0.07963715067931584
robotics,RELER,11-100,32,0.19959462623152924,0.284796626984127,-0.031161018647253513,-0.06984094344079494,0.03867992479354143,0.16586492583155632,0.1774408862886707,-0.056768156588077545
robotics,RELER,101+,44,0.024882358501114844,0.033549783549783545,-0.036867973479357635,-0.036877737803892655,9.764324535023082e-06,0.18002208254554056,0.18063987388730335,-0.042200078002431175
