panel,series,step,mean,sample_sd,n_seeds
A,Graded-only,1,0.666945,0.03546974413,3
A,Graded-only,2,0.680267,0.02594824179,3
A,Graded-only,3,0.677247,0.03931772216,3
A,Graded-only,4,0.641088,0.003961740653,3
A,Graded-only,5,0.6935673333,0.05581755245,3
A,Graded-only,6,0.6916596667,0.009163970664,3
A,Graded-only,7,0.6785176667,0.05790836113,3
A,Graded-only,8,0.7140033333,0.03594421684,3
A,Graded-only,9,0.6732796667,0.05905913191,3
A,Graded-only,10,0.6799903333,0.03005764557,3
A,Graded-only,11,0.7314753333,0.04342652904,3
A,Graded-only,12,0.7353866667,0.01899688965,3
A,Graded-only,13,0.7312253333,0.02152563788,3
A,Graded-only,14,0.7669046667,0.02585584422,3
A,Graded-only,15,0.7175566667,0.02842679743,3
A,Graded-only,16,0.7519873333,0.01167026368,3
A,Graded-only,17,0.733378,0.02157062658,3
A,Graded-only,18,0.7168763333,0.03196663439,3
A,Graded-only,19,0.7248443333,0.02711756348,3
A,Graded-only,20,0.736309,0.0440067963,3
A,Graded-only,21,0.7626976667,0.03104038631,3
A,Graded-only,22,0.7486063333,0.01489982558,3
A,Graded-only,23,0.768269,0.02382763184,3
A,Graded-only,24,0.747829,0.004965512763,3
A,Graded-only,25,0.735137,0.02431116968,3
A,Graded-only,26,0.7373073333,0.003817943993,3
A,Graded-only,27,0.778558,0.005120353601,3
A,Graded-only,28,0.7673236667,0.01375588799,3
A,Graded-only,29,0.758966,0.03685579931,3
A,Graded-only,30,0.7394933333,0.02274118575,3
A,Graded-only,31,0.762523,0.01259999369,3
A,Graded-only,32,0.7366176667,0.02435484261,3
A,Graded-only,33,0.792407,0.01492524214,3
A,Graded-only,34,0.757705,0.001473025458,3
A,Graded-only,35,0.7568293333,0.02949277258,3
A,Graded-only,36,0.7756273333,0.02630769671,3
A,Graded-only,37,0.758613,0.01050635241,3
A,Graded-only,38,0.7648643333,0.01872806051,3
A,Graded-only,39,0.775947,0.02763265791,3
A,Graded-only,40,0.8147643333,0.01224432989,3
A,Graded-only,41,0.7954126667,0.01174111295,3
A,Graded-only,42,0.7695416667,0.03530346122,3
A,Graded-only,43,0.7872766667,0.02333933145,3
A,Graded-only,44,0.7803783333,0.02181201745,3
A,Graded-only,45,0.788012,0.02191851446,3
A,Graded-only,46,0.7767763333,0.02227134608,3
A,Graded-only,47,0.772356,0.03275483431,3
A,Graded-only,48,0.8054143333,0.01053661484,3
A,Graded-only,49,0.7994576667,0.008182988594,3
A,Graded-only,50,0.7978936667,0.0148406279,3
A,Graded-only,51,0.801804,0.01370272612,3
A,Graded-only,52,0.7745523333,0.02787535762,3
A,Graded-only,53,0.8317236667,0.01065922578,3
A,Graded-only,54,0.7950966667,0.006387840506,3
A,Graded-only,55,0.8052313333,0.01733801322,3
A,Graded-only,56,0.792612,0.004169909831,3
A,Graded-only,57,0.7956476667,0.004004474664,3
A,Graded-only,58,0.8035826667,0.02924286119,3
A,Graded-only,59,0.7751953333,0.01368113176,3
A,Graded-only,60,0.8026983333,0.0156687723,3
A,Graded-only,61,0.8083293333,0.01215070061,3
A,Graded-only,62,0.7969773333,0.03021013019,3
A,Graded-only,63,0.8063176667,0.01913843406,3
A,Graded-only,64,0.7835503333,0.02539841574,3
A,Graded-only,65,0.7949366667,0.01668780505,3
A,Graded-only,66,0.8049896667,0.0132220252,3
A,Graded-only,67,0.807915,0.01823201061,3
A,Graded-only,68,0.7980456667,0.03273387594,3
