panel,series,recipe,seed,run,step,value
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,1,0.701965
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,2,0.691539
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,3,0.696101
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,4,0.638233
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,5,0.697836
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,6,0.701913
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,7,0.730631
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,8,0.754591
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,9,0.627026
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,10,0.648235
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,11,0.681556
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,12,0.729391
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,13,0.730444
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,14,0.78872
A,Graded-only,Listwise,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-s42,15,0.684787
