step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
1,0.667828,0.689227,1.012442,0.170233,0.086923,0.994972,-0.0214,-0.010042,-0.022721,-0.01136,0.3446135
2,0.650589,0.640334,0.970756,0.161822,0.122781,0.988741,-0.0502,-0.042217,-0.015941,-0.00797,0.320167
3,0.6321,0.650813,0.957507,0.175772,0.074616,0.989614,-0.0978,-0.07137,-0.052827,-0.026414,0.3254065
4,0.639344,0.636441,0.957564,0.191213,0.077519,0.984065,-0.0207,-0.00355,-0.034309,-0.017154,0.3182205
5,0.635105,0.645483,0.957847,0.175399,0.066087,0.988496,-0.0742,-0.067585,-0.013303,-0.006651,0.3227415
6,0.689205,0.63231,1.00536,0.174179,0.11417,0.995937,-0.0352,-0.0213,-0.02787,-0.013935,0.316155
7,0.617346,0.650615,0.942654,0.201272,0.054256,0.988141,0.0224,0.040098,-0.035475,-0.017738,0.3253075
8,0.702677,0.718171,1.061762,0.168767,0.073029,0.996967,-0.0877,-0.072658,-0.030108,-0.015054,0.3590855
9,0.740951,0.695661,1.088781,0.163586,0.14954,1,-0.091,-0.075916,-0.030254,-0.015127,0.3478305
10,0.707217,0.691176,1.052805,0.169244,0.107748,0.995761,-0.0924,-0.078634,-0.027526,-0.013763,0.345588
11,0.755806,0.723914,1.117763,0.152385,0.155449,0.998764,-0.1168,-0.090789,-0.0521,-0.02605,0.361957
12,0.757459,0.769487,1.142202,0.152536,0.201783,0.997784,-0.0191,-0.006428,-0.025296,-0.012648,0.3847435
13,0.753356,0.753414,1.130063,0.159067,0.16917,0.998543,-0.0405,-0.020822,-0.03945,-0.019725,0.376707
14,0.775109,0.772616,1.161417,0.153926,0.220088,0.997498,-0.0741,-0.056408,-0.035319,-0.01766,0.386308
15,0.734965,0.759481,1.114706,0.169809,0.13548,0.995805,-0.0413,-0.021123,-0.040367,-0.020183,0.3797405
16,0.761359,0.767193,1.144956,0.14486,0.172356,0.994919,-0.0945,-0.075616,-0.037769,-0.018884,0.3835965
17,0.70909,0.773507,1.095844,0.159377,0.151373,0.986664,-0.0844,-0.063475,-0.041813,-0.020906,0.3867535
18,0.709049,0.761988,1.090042,0.167554,0.153612,0.991065,-0.0711,-0.058099,-0.026083,-0.013042,0.380994
19,0.696174,0.75198,1.072164,0.158139,0.165579,0.989129,-0.0741,-0.051283,-0.045634,-0.022817,0.37599
20,0.76711,0.787926,1.161073,0.156465,0.169331,0.99598,-0.0318,-0.023636,-0.016255,-0.008127,0.393963
21,0.76379,0.816535,1.172058,0.140345,0.216586,0.997498,-0.0976,-0.072595,-0.050084,-0.025042,0.4082675
22,0.74137,0.808942,1.145842,0.142595,0.227289,0.995645,-0.0504,-0.035389,-0.029931,-0.014966,0.404471
23,0.780744,0.824514,1.193001,0.147881,0.229143,0.998711,-0.0783,-0.066712,-0.023233,-0.011616,0.412257
24,0.753401,0.78601,1.146406,0.148481,0.201673,0.998147,-0.0865,-0.062545,-0.047868,-0.023934,0.393005
25,0.760949,0.795799,1.158849,0.144339,0.222348,0.994548,-0.0557,-0.051598,-0.008259,-0.00413,0.3978995
26,0.726041,0.789653,1.120867,0.164675,0.180067,0.99376,0.0154,0.020771,-0.010689,-0.005345,0.3948265
27,0.768062,0.790566,1.163345,0.145573,0.178544,0.997784,-0.0877,-0.072135,-0.031174,-0.015587,0.395283
28,0.765872,0.822947,1.177346,0.146424,0.183717,0.998514,0.0456,0.047513,-0.003854,-0.001927,0.4114735
29,0.770519,0.793988,1.167513,0.153123,0.189076,1,-0.064,-0.043168,-0.041747,-0.020874,0.396994
30,0.719004,0.773171,1.10559,0.160945,0.132716,0.994133,-0.0909,-0.0853,-0.011297,-0.005649,0.3865855
31,0.768812,0.818259,1.177942,0.140704,0.229363,0.999469,0.0076,0.022374,-0.029476,-0.014738,0.4091295
32,0.750965,0.844432,1.173182,0.144426,0.228193,0.994612,-0.0725,-0.065646,-0.013636,-0.006818,0.422216
33,0.777392,0.829157,1.191971,0.147422,0.243338,0.994982,-0.0352,-0.022979,-0.024471,-0.012235,0.4145785
34,0.750068,0.822387,1.161261,0.139688,0.270178,0.9954,-0.1064,-0.088144,-0.036505,-0.018252,0.4111935
35,0.753053,0.793,1.149553,0.159133,0.23831,0.993737,-0.0642,-0.04563,-0.037106,-0.018553,0.3965
36,0.741308,0.794445,1.13853,0.149063,0.166715,0.995503,-0.0439,-0.029334,-0.029228,-0.014614,0.3972225
37,0.748664,0.800199,1.148764,0.151822,0.240586,0.996091,-0.0885,-0.071391,-0.03414,-0.01707,0.4000995
38,0.779297,0.845928,1.202261,0.14405,0.240219,1,-0.0884,-0.067873,-0.041048,-0.020524,0.422964
39,0.747906,0.805425,1.150619,0.152638,0.199248,0.994862,-0.103,-0.087654,-0.030607,-0.015304,0.4027125
40,0.797309,0.816156,1.205387,0.125152,0.254885,1,-0.0061,0.008244,-0.028636,-0.014318,0.408078
41,0.80748,0.829587,1.222273,0.131604,0.253291,1,-0.0383,-0.026995,-0.022517,-0.011259,0.4147935
42,0.760133,0.828604,1.174435,0.141265,0.223443,0.997115,-0.0273,-0.01366,-0.027381,-0.01369,0.414302
43,0.76145,0.830844,1.176872,0.150049,0.196858,0.995729,-0.0252,-0.022038,-0.006326,-0.003163,0.415422
44,0.770614,0.841276,1.191252,0.128611,0.295939,0.996571,-0.0589,-0.042334,-0.033107,-0.016554,0.420638
45,0.805665,0.848516,1.229923,0.120531,0.265468,0.994017,-0.0394,-0.018284,-0.042259,-0.021129,0.424258
46,0.781249,0.849305,1.205902,0.141018,0.196066,0.99278,-0.029,-0.016003,-0.026089,-0.013044,0.4246525
47,0.76918,0.820868,1.179614,0.147004,0.22326,0.999469,-0.0747,-0.04623,-0.056873,-0.028436,0.410434
48,0.805221,0.871977,1.24121,0.140241,0.269476,0.999469,-0.0309,-0.016358,-0.029129,-0.014565,0.4359885
49,0.79866,0.833694,1.215506,0.13555,0.232745,0.995805,-0.0636,-0.040361,-0.04654,-0.02327,0.416847
50,0.799227,0.870555,1.234504,0.138021,0.262594,1,-0.0329,-0.023818,-0.018256,-0.009128,0.4352775
51,0.781167,0.850766,1.20655,0.126454,0.265,0.994104,-0.0293,-0.014953,-0.028636,-0.014318,0.425383
52,0.756458,0.819886,1.166401,0.13329,0.211949,0.997079,-0.0551,-0.053537,-0.003098,-0.001549,0.409943
53,0.839144,0.844941,1.261614,0.125739,0.302911,1,-0.0609,-0.04465,-0.032542,-0.016271,0.4224705
54,0.786754,0.847959,1.210733,0.138667,0.226002,0.99412,-0.0144,-0.007577,-0.01369,-0.006845,0.4239795
55,0.803231,0.831475,1.218968,0.145473,0.234551,1,-0.0214,-0.007973,-0.026767,-0.013383,0.4157375
56,0.792278,0.856798,1.220676,0.146964,0.237606,0.999469,-0.0515,-0.034544,-0.033978,-0.016989,0.428399
57,0.786104,0.846158,1.209183,0.146246,0.206378,0.999469,-0.0716,-0.048575,-0.046028,-0.023014,0.423079
58,0.82313,0.847747,1.247003,0.116971,0.328057,1,-0.0057,0.003001,-0.017457,-0.008729,0.4238735
59,0.760553,0.802265,1.161686,0.144087,0.186182,0.993023,-0.0628,-0.04989,-0.025861,-0.01293,0.4011325
60,0.813335,0.851024,1.238847,0.130399,0.245376,1,-0.068,-0.052801,-0.030493,-0.015247,0.425512
61,0.79432,0.844114,1.216377,0.130832,0.262918,0.997498,-0.0263,-0.008741,-0.035109,-0.017555,0.422057
62,0.797228,0.864821,1.229639,0.134058,0.33354,0.999469,-0.0533,-0.051629,-0.003403,-0.001702,0.4324105
63,0.820537,0.87575,1.258412,0.125988,0.319916,0.994996,-0.0958,-0.076673,-0.038291,-0.019145,0.437875
64,0.77894,0.83884,1.198359,0.146367,0.236719,0.996031,-0.071,-0.058311,-0.025435,-0.012717,0.41942
65,0.772492,0.834643,1.189813,0.133743,0.235156,0.997498,-0.1208,-0.100749,-0.040066,-0.020033,0.4173215
66,0.783998,0.81883,1.193413,0.128201,0.241183,0.991161,-0.0676,-0.061265,-0.012738,-0.006369,0.409415
67,0.80773,0.849483,1.232471,0.126996,0.333565,1,-0.0407,-0.032081,-0.017147,-0.008573,0.4247415
68,0.762686,0.814345,1.169859,0.139472,0.259744,0.996548,-0.0872,-0.069949,-0.034558,-0.017279,0.4071725
69,0.785224,0.848092,1.20927,0.124956,0.283716,0.998764,-0.0559,-0.036821,-0.038091,-0.019045,0.424046
70,0.76094,0.839044,1.180461,0.149892,0.194054,0.991623,0.0057,0.016121,-0.020931,-0.010465,0.419522
71,0.79386,0.849342,1.218531,0.118563,0.268543,0.997269,-0.0303,-0.01571,-0.029204,-0.014602,0.424671
72,0.805627,0.845498,1.228376,0.13072,0.310238,1,-0.055,-0.045315,-0.019439,-0.00972,0.422749
73,0.787145,0.852663,1.213476,0.133628,0.276938,0.997475,-0.0217,-0.007824,-0.027767,-0.013884,0.4263315
74,0.80038,0.848532,1.224647,0.133135,0.277653,1,-0.0756,-0.058788,-0.033716,-0.016858,0.424266
75,0.796503,0.824848,1.208927,0.142893,0.213216,0.99698,-0.0322,-0.01888,-0.026724,-0.013362,0.412424
76,0.775087,0.83708,1.193626,0.138086,0.247093,1,-0.1041,-0.088325,-0.031636,-0.015818,0.41854
77,0.802042,0.839301,1.221693,0.143122,0.242434,0.996571,-0.0448,-0.038625,-0.01242,-0.00621,0.4196505
78,0.829386,0.853999,1.256386,0.110519,0.38051,1,-0.0593,-0.038561,-0.04153,-0.020765,0.4269995
79,0.814193,0.865538,1.246962,0.11966,0.301084,0.997498,-0.0461,-0.037591,-0.017042,-0.008521,0.432769
80,0.812203,0.868332,1.246369,0.136614,0.256481,0.999469,-0.1063,-0.081356,-0.049825,-0.024913,0.434166
81,0.819902,0.86527,1.252537,0.125548,0.281446,1,-0.0627,-0.051468,-0.022552,-0.011276,0.432635
82,0.812647,0.833202,1.229248,0.122593,0.294535,0.998543,-0.0467,-0.037245,-0.018866,-0.009433,0.416601
83,0.796877,0.8504,1.222076,0.119964,0.297968,0.999469,-0.0542,-0.033084,-0.042229,-0.021115,0.4252
84,0.835809,0.88973,1.280674,0.112982,0.362144,1,-0.0133,-0.004232,-0.018172,-0.009086,0.444865
85,0.8001,0.848129,1.224164,0.115175,0.278009,0.992315,-0.0624,-0.042499,-0.039882,-0.019941,0.4240645
86,0.810046,0.856935,1.238514,0.13767,0.255875,1,-0.0767,-0.059838,-0.033636,-0.016818,0.4284675
87,0.802809,0.871154,1.238386,0.13342,0.303073,0.992793,-0.0948,-0.082884,-0.023876,-0.011938,0.435577
88,0.779227,0.842862,1.200658,0.126287,0.302636,0.997498,-0.0285,-0.012688,-0.031531,-0.015766,0.421431
89,0.792226,0.841004,1.212727,0.128014,0.277661,0.991998,-0.044,-0.023267,-0.041379,-0.02069,0.420502
90,0.82909,0.869684,1.263932,0.122061,0.298408,0.999469,-0.0713,-0.061414,-0.019825,-0.009913,0.434842
91,0.820311,0.873109,1.256866,0.123661,0.323417,0.999073,-0.0469,-0.040655,-0.012415,-0.006207,0.4365545
92,0.828438,0.867769,1.262323,0.105628,0.302341,0.999469,-0.0425,-0.023068,-0.038823,-0.019412,0.4338845
93,0.808754,0.854755,1.236131,0.126169,0.279148,0.99722,-0.0627,-0.050534,-0.024339,-0.012169,0.4273775
94,0.779722,0.858238,1.208841,0.137481,0.264427,0.992265,-0.0784,-0.063128,-0.030548,-0.015274,0.429119
95,0.813107,0.858281,1.242248,0.129109,0.26232,1,-0.0235,-0.006903,-0.033104,-0.016552,0.4291405
96,0.828602,0.869727,1.263465,0.119564,0.336004,1,0.0045,0.016303,-0.02369,-0.011845,0.4348635
97,0.80983,0.884179,1.25192,0.120602,0.275118,1,-0.0482,-0.0367,-0.022907,-0.011453,0.4420895
98,0.833221,0.839533,1.252987,0.109257,0.375101,0.996571,-0.0766,-0.063235,-0.026806,-0.013403,0.4197665
99,0.811237,0.855269,1.238871,0.132865,0.314395,1,-0.0388,-0.025177,-0.027262,-0.013631,0.4276345
100,0.818634,0.869417,1.253343,0.118137,0.341957,1,-0.0448,-0.032428,-0.024745,-0.012372,0.4347085
