step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
1,0.701965,0.657233,1.030582,0.155965,0.129436,0.98843,-0.0162,-0.006287,-0.019732,-0.009866,0.3286165
2,0.691539,0.691503,1.03729,0.167979,0.091217,0.991514,-0.0508,-0.043144,-0.015377,-0.007689,0.3457515
3,0.696217,0.688307,1.04037,0.163408,0.133735,0.994311,-0.023,-0.008005,-0.030075,-0.015037,0.3441535
4,0.638331,0.633486,0.955074,0.165421,0.101993,0.995627,-0.0517,-0.03705,-0.029335,-0.014668,0.316743
5,0.698259,0.652629,1.024574,0.175017,0.066664,0.998514,-0.1176,-0.102086,-0.031001,-0.015501,0.3263145
6,0.702846,0.682718,1.044205,0.167729,0.129742,0.994892,-0.14,-0.108185,-0.063578,-0.031789,0.341359
7,0.731149,0.727389,1.094843,0.157582,0.134089,0.996312,-0.0618,-0.051914,-0.019675,-0.009838,0.3636945
8,0.756606,0.724211,1.118711,0.14902,0.176027,0.999469,-0.063,-0.04111,-0.043722,-0.021861,0.3621055
9,0.62733,0.659955,0.957307,0.190996,0.080427,0.990678,-0.0693,-0.055083,-0.028426,-0.014213,0.3299775
10,0.649648,0.690204,0.99475,0.17616,0.086254,0.991235,-0.0746,-0.059404,-0.030379,-0.015189,0.345102
11,0.682914,0.702212,1.03402,0.178903,0.087188,0.992507,-0.1171,-0.093335,-0.047556,-0.023778,0.351106
12,0.730439,0.717522,1.0892,0.162999,0.1594,0.996262,-0.0473,-0.032892,-0.028862,-0.014431,0.358761
13,0.728182,0.743385,1.099875,0.155103,0.148567,0.997984,-0.0554,-0.035745,-0.039269,-0.019634,0.3716925
14,0.785617,0.761753,1.166494,0.152089,0.174499,0.997498,-0.0125,0.002626,-0.030179,-0.015089,0.3808765
15,0.682486,0.728453,1.046712,0.170586,0.10221,0.993478,-0.1121,-0.100095,-0.023938,-0.011969,0.3642265
16,0.761146,0.745606,1.133948,0.154766,0.189336,1,-0.0835,-0.061479,-0.044082,-0.022041,0.372803
17,0.744109,0.772003,1.130111,0.159299,0.18586,0.997588,-0.0943,-0.072509,-0.043534,-0.021767,0.3860015
18,0.683969,0.743213,1.055576,0.175303,0.108477,0.988098,-0.0907,-0.090191,-0.000974,-0.000487,0.3716065
19,0.757255,0.766644,1.140578,0.15384,0.164905,0.997498,-0.054,-0.032684,-0.042593,-0.021297,0.383322
20,0.69052,0.782694,1.081867,0.168839,0.135555,0.993176,-0.0107,0.001634,-0.024724,-0.012362,0.391347
21,0.730585,0.752046,1.106607,0.151673,0.187486,0.993663,-0.0579,-0.048583,-0.01865,-0.009325,0.376023
22,0.761467,0.809251,1.166093,0.152525,0.198028,0.994973,-0.0662,-0.064952,-0.002591,-0.001296,0.4046255
23,0.759938,0.809488,1.164682,0.155104,0.205842,0.993656,-0.0178,-0.000515,-0.034614,-0.017307,0.404744
24,0.750339,0.807439,1.154059,0.151953,0.206852,0.998543,-0.0361,-0.021754,-0.028599,-0.014299,0.4037195
25,0.730768,0.799352,1.130444,0.155746,0.170176,0.99264,-0.0733,-0.061245,-0.024159,-0.012079,0.399676
26,0.739457,0.80316,1.141037,0.14513,0.208328,0.999073,-0.0693,-0.063979,-0.010684,-0.005342,0.40158
27,0.779731,0.832642,1.196052,0.144156,0.242587,0.999073,-0.0439,-0.03599,-0.015759,-0.007879,0.416321
28,0.779063,0.824598,1.191362,0.147247,0.244271,0.999469,-0.0098,0.007475,-0.034649,-0.017325,0.412299
29,0.711053,0.794111,1.108109,0.170092,0.166386,0.989357,-0.0857,-0.070176,-0.031143,-0.015572,0.3970555
30,0.758033,0.813032,1.164549,0.137037,0.251456,0.997498,-0.0402,-0.019638,-0.041145,-0.020573,0.406516
31,0.740313,0.811755,1.146191,0.155393,0.200054,0.992299,-0.0083,-2.9e-05,-0.016573,-0.008286,0.4058775
32,0.707854,0.787601,1.101654,0.172359,0.124619,0.991278,0.0016,0.010404,-0.017554,-0.008777,0.3938005
33,0.801194,0.84944,1.225914,0.139934,0.312437,0.997394,-0.0754,-0.060057,-0.030738,-0.015369,0.42472
34,0.750853,0.799584,1.150645,0.15899,0.219219,0.993746,-0.0829,-0.075206,-0.015349,-0.007674,0.399792
35,0.778107,0.833769,1.194992,0.146559,0.25672,0.994612,-0.0233,-0.014891,-0.016729,-0.008364,0.4168845
36,0.767313,0.825741,1.180184,0.151417,0.222892,0.996967,-0.0195,-0.008433,-0.022189,-0.011095,0.4128705
37,0.759986,0.79956,1.159767,0.150076,0.205501,0.995253,-0.0519,-0.046203,-0.011465,-0.005733,0.39978
38,0.751191,0.817082,1.159732,0.152627,0.212189,0.997254,-0.0485,-0.037698,-0.021645,-0.010823,0.408541
39,0.787189,0.815754,1.195066,0.126342,0.266897,0.995026,-0.0958,-0.077178,-0.037276,-0.018638,0.407877
40,0.814008,0.84757,1.237793,0.133554,0.293451,1,-0.0353,-0.029142,-0.01239,-0.006195,0.423785
41,0.781061,0.831265,1.196694,0.140826,0.252904,0.996209,-0.0308,-0.024809,-0.01196,-0.00598,0.4156325
42,0.729837,0.786883,1.123279,0.151251,0.174562,0.989165,-0.0342,-0.017747,-0.032953,-0.016477,0.3934415
43,0.781566,0.804,1.183566,0.136833,0.238357,0.995232,-0.087,-0.076692,-0.020661,-0.010331,0.402
