step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
1,0.631042,,,0.171403,0.072286,0.98988,-0.1028,,,,
2,0.698673,,,0.164066,0.101077,0.997511,-0.0365,,,,
3,0.703587,,,0.168583,0.100041,0.9902,-0.0396,,,,
4,0.645611,,,0.18662,0.075041,0.992689,-0.0336,,,,
5,0.747128,,,0.169643,0.120998,0.997115,-0.0296,,,,
6,0.684268,,,0.183384,0.082022,0.990788,-0.1112,,,,
7,0.688745,,,0.169787,0.098917,0.994625,-0.0976,,,,
8,0.686195,,,0.178326,0.091706,0.992463,-0.0401,,,,
9,0.653008,,,0.177444,0.075436,0.989328,-0.0538,,,,
10,0.683737,,,0.165252,0.119814,0.994082,-0.0799,,,,
11,0.760547,,,0.143429,0.194834,0.994996,0.0187,,,,
12,0.720111,,,0.149282,0.163276,0.998764,-0.128,,,,
13,0.710101,,,0.163402,0.13647,0.994409,-0.062,,,,
14,0.738345,,,0.167709,0.139443,0.996209,-0.0666,,,,
15,0.7323,,,0.147136,0.171549,0.995805,-0.0306,,,,
16,0.738983,,,0.164479,0.177041,0.996829,-0.077,,,,
17,0.746919,,,0.173535,0.17669,0.996275,-0.0628,,,,
18,0.749858,,,0.145653,0.154723,0.997018,-0.0484,,,,
19,0.716197,,,0.156006,0.209496,0.993737,-0.0743,,,,
20,0.747829,,,0.161548,0.158059,1,-0.0416,,,,
21,0.790591,,,0.129222,0.237904,0.998764,-0.0676,,,,
22,0.740406,,,0.161227,0.163377,0.992971,0.0053,,,,
23,0.744604,,,0.144104,0.199291,0.994246,-0.0338,,,,
24,0.74287,,,0.143538,0.193115,0.996739,-0.0046,,,,
25,0.710992,,,0.164531,0.155966,0.985917,-0.0453,,,,
26,0.735377,,,0.137054,0.185799,0.990328,0.0239,,,,
27,0.781162,,,0.155923,0.176429,0.996967,-0.07,,,,
28,0.752092,,,0.163758,0.14569,0.998307,-0.0239,,,,
29,0.781577,,,0.138785,0.218602,0.996495,-0.1001,,,,
30,0.73672,,,0.168352,0.153472,0.997475,-0.0622,,,,
31,0.763332,,,0.145731,0.179667,0.99599,-0.0045,,,,
32,0.744776,,,0.159598,0.208252,0.990973,0.0274,,,,
33,0.785934,,,0.130449,0.241284,0.993603,-0.0041,,,,
34,0.758603,,,0.149294,0.221779,0.996739,-0.0173,,,,
35,0.726411,,,0.150596,0.181244,0.99278,0.0237,,,,
