step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
1,0.701965,,,0.155965,0.129436,0.98843,-0.0063,,,,
2,0.691539,,,0.167979,0.091217,0.991514,-0.0431,,,,
3,0.696101,,,0.163396,0.132236,0.994311,-0.0093,,,,
4,0.638233,,,0.16549,0.104353,0.995825,-0.035,,,,
5,0.697836,,,0.175218,0.061716,0.997777,-0.0977,,,,
6,0.701913,,,0.168172,0.132369,0.994767,-0.1079,,,,
7,0.730631,,,0.158628,0.133444,0.99652,-0.0508,,,,
8,0.754591,,,0.149956,0.181083,1,-0.0372,,,,
9,0.627026,,,0.191793,0.077038,0.992013,-0.0605,,,,
10,0.648235,,,0.176926,0.084694,0.992307,-0.0443,,,,
11,0.681556,,,0.18014,0.086677,0.990389,-0.0944,,,,
12,0.729391,,,0.164303,0.157572,0.996571,-0.0362,,,,
13,0.730444,,,0.155088,0.170333,0.99738,-0.0348,,,,
14,0.78872,,,0.15018,0.182645,1,-0.0114,,,,
15,0.684787,,,0.170105,0.104199,0.993656,-0.0854,,,,
16,0.75543,,,0.159175,0.185742,0.999469,-0.0519,,,,
17,0.744712,,,0.157165,0.180219,0.997588,-0.0679,,,,
18,0.686032,,,0.177143,0.103427,0.986074,-0.0759,,,,
19,0.755231,,,0.161652,0.126198,0.997498,-0.045,,,,
20,0.687688,,,0.171059,0.127743,0.996298,-0.025,,,,
21,0.729258,,,0.156818,0.173781,0.995201,-0.0501,,,,
22,0.765805,,,0.147897,0.210048,0.994127,-0.0363,,,,
23,0.767947,,,0.15143,0.200277,0.996468,-0.0365,,,,
24,0.747816,,,0.157063,0.1878,0.998543,-0.035,,,,
25,0.734808,,,0.159789,0.135818,0.993721,-0.0715,,,,
26,0.741705,,,0.143452,0.19679,0.995622,-0.0455,,,,
27,0.781853,,,0.145272,0.23947,0.997498,-0.0419,,,,
28,0.778841,,,0.148147,0.208902,0.999073,0.0225,,,,
29,0.716437,,,0.16847,0.157365,0.990976,-0.0915,,,,
30,0.763494,,,0.137457,0.224636,0.997498,-0.0169,,,,
31,0.749538,,,0.153786,0.187752,0.994237,-0.0227,,,,
32,0.709231,,,0.171314,0.137493,0.99211,-0.009,,,,
33,0.809476,,,0.135438,0.291018,0.998711,-0.086,,,,
34,0.756005,,,0.15902,0.193598,0.994142,-0.084,,,,
35,0.7853,,,0.144609,0.245581,0.995503,-0.0256,,,,
36,0.778985,,,0.143764,0.229681,0.997498,0.0007,,,,
37,0.768732,,,0.14867,0.205459,0.997784,-0.045,,,,
38,0.756418,,,0.151637,0.185655,0.999469,-0.0518,,,,
39,0.804109,,,0.125137,0.262417,0.997498,-0.065,,,,
40,0.828567,,,0.122811,0.327513,1,-0.0524,,,,
41,0.788346,,,0.138328,0.278201,0.99818,-0.0427,,,,
42,0.737024,,,0.148576,0.192106,0.991329,-0.0181,,,,
43,0.787732,,,0.135957,0.243628,0.996829,-0.0581,,,,
44,0.760173,,,0.151259,0.196648,0.99375,-0.0938,,,,
45,0.793072,,,0.133406,0.199885,1,-0.0752,,,,
46,0.792385,,,0.132374,0.194447,0.997498,-0.0893,,,,
47,0.735981,,,0.151614,0.162922,0.99194,0.0179,,,,
48,0.813684,,,0.122151,0.309245,0.999469,-0.0212,,,,
49,0.803271,,,0.117864,0.280061,0.999469,-0.1084,,,,
50,0.781354,,,0.144428,0.186001,0.994406,-0.0839,,,,
51,0.809906,,,0.115541,0.269167,1,-0.0736,,,,
52,0.806556,,,0.143383,0.229924,1,-0.0487,,,,
53,0.822396,,,0.129058,0.266871,1,-0.0392,,,,
54,0.789138,,,0.124261,0.247486,0.999447,-0.0378,,,,
55,0.785591,,,0.13184,0.260823,0.998939,-0.0761,,,,
56,0.79462,,,0.139203,0.257152,0.995813,-0.0674,,,,
57,0.798461,,,0.129145,0.27088,0.997838,-0.0619,,,,
58,0.780143,,,0.136749,0.226847,1,-0.0453,,,,
59,0.789899,,,0.133676,0.220965,0.997394,-0.0968,,,,
60,0.784837,,,0.14576,0.227022,0.999073,-0.0246,,,,
61,0.822168,,,0.118459,0.347717,1,-0.0145,,,,
62,0.762825,,,0.13787,0.197443,0.996967,-0.1042,,,,
63,0.806536,,,0.132303,0.267523,0.999469,-0.05,,,,
64,0.808364,,,0.124683,0.294207,1,-0.0771,,,,
65,0.81311,,,0.126546,0.302805,1,-0.0327,,,,
66,0.803936,,,0.130469,0.239029,1,-0.0706,,,,
67,0.792884,,,0.125157,0.25569,0.995568,-0.0331,,,,
68,0.793375,,,0.132754,0.244987,0.997079,-0.0943,,,,
69,0.784096,,,0.142803,0.195862,0.997498,-0.0238,,,,
70,0.796566,,,0.136379,0.246704,0.997498,0.0122,,,,
71,0.819079,,,0.131408,0.26104,1,-0.0275,,,,
72,0.812285,,,0.141597,0.264953,1,-0.0492,,,,
73,0.826311,,,0.133899,0.27251,0.999469,-0.0258,,,,
74,0.813378,,,0.125051,0.29697,0.998307,0.0012,,,,
75,0.77952,,,0.142076,0.225327,0.989784,-0.0237,,,,
76,0.804185,,,0.136366,0.260534,0.999469,-0.0124,,,,
77,0.81877,,,0.141607,0.255563,1,-0.0215,,,,
78,0.861149,,,0.107074,0.379645,1,-0.0439,,,,
79,0.791474,,,0.138005,0.234245,0.996437,-0.0856,,,,
80,0.816228,,,0.123926,0.280546,0.998514,-0.0131,,,,
81,0.820029,,,0.118103,0.300764,1,-0.0017,,,,
82,0.83747,,,0.128404,0.321954,1,-0.0255,,,,
83,0.830937,,,0.116317,0.309385,0.997498,-0.0357,,,,
84,0.830589,,,0.10829,0.336075,0.998315,-0.036,,,,
85,0.82426,,,0.12704,0.277763,0.998764,-0.0151,,,,
86,0.833696,,,0.120233,0.30386,1,-0.01,,,,
87,0.767346,,,0.135743,0.217829,0.996967,-0.0867,,,,
88,0.818821,,,0.135759,0.28188,1,-0.0105,,,,
89,0.838735,,,0.1253,0.300032,1,-0.029,,,,
90,0.816572,,,0.118348,0.285789,0.997394,-0.019,,,,
91,0.826948,,,0.131675,0.320609,1,-0.0394,,,,
92,0.821754,,,0.120662,0.266701,0.998711,-0.0282,,,,
93,0.817976,,,0.122125,0.305994,0.997498,-0.0322,,,,
94,0.832293,,,0.109644,0.348297,0.996041,-0.0688,,,,
95,0.829029,,,0.122203,0.33502,1,-0.015,,,,
96,0.801189,,,0.121378,0.298001,0.997511,-0.0285,,,,
97,0.830165,,,0.111582,0.251676,0.999469,0.0066,,,,
98,0.820758,,,0.118253,0.265026,0.992367,-0.0045,,,,
99,0.830655,,,0.123785,0.281816,1,-0.0546,,,,
100,0.835458,,,0.124958,0.270443,0.998234,-0.0424,,,,
101,0.815442,,,0.134152,0.232075,0.997269,-0.0242,,,,
102,0.827005,,,0.127414,0.258129,1,-0.008,,,,
103,0.818351,,,0.113017,0.344607,0.997498,-0.016,,,,
104,0.803474,,,0.126562,0.24466,0.995053,-0.122,,,,
105,0.836721,,,0.110361,0.33308,1,0.0013,,,,
106,0.823743,,,0.118183,0.350149,1,-0.0623,,,,
107,0.813304,,,0.123614,0.305124,0.994996,-0.0235,,,,
108,0.834737,,,0.117968,0.344234,1,-0.0522,,,,
109,0.809083,,,0.129127,0.306338,1,-0.0548,,,,
110,0.855768,,,0.106516,0.334313,1,-0.0063,,,,
111,0.809306,,,0.124661,0.280176,1,-0.0548,,,,
112,0.841034,,,0.103953,0.357935,0.998764,-0.0037,,,,
113,0.844536,,,0.132951,0.285768,1,-0.0494,,,,
