family,method,n,seed42,seed3407,seed2026,mean,sample_sd,worst,delta_e0
qwen,RL-GradedNDCG64-CP,3,20.27,21.15,20.75,20.723333333333333,0.4406056437828877,20.27,5.623333333333333
qwen,RL-GradedNDCG64-CP-Align080,3,20.71,20.98,20.58,20.756666666666668,0.20404247923737276,20.58,5.656666666666668
qwen,RL-GradedNDCG64-CP-Anneal080090,3,20.58,20.89,20.94,20.803333333333335,0.19502136635080256,20.58,5.703333333333335
qwen,RL-GradedNDCG64-CP-Align095,3,20.36,20.83,20.48,20.556666666666665,0.24419937209856407,20.36,5.456666666666665
qwen,RL-GradedNDCG32-CP,3,20.61,20.7,19.89,20.4,0.44395945760846156,19.89,5.299999999999999
qwen,RL-GradedNDCG64-CP-Align065,3,20.45,20.5,20.69,20.546666666666667,0.12662279942148486,20.45,5.446666666666667
qwen,RL-GradedNDCG64-CP-Align053,3,20.27,19.9,20.46,20.21,0.28478061731796395,19.9,5.110000000000001
qwen,RL-GradedNDCG64-CP-Align098,3,20.22,20.23,20.1,20.183333333333334,0.07234178138070138,20.1,5.083333333333334
qwen,RL-MRR64-SF,3,18.54,19.78,19.87,19.39666666666667,0.7432585911601258,18.54,4.296666666666669
qwen,RL-GradedNDCG64-CP-NoRescale,3,19.85,19.56,19.74,19.716666666666665,0.1464012750399862,19.56,4.616666666666665
qwen,RL-GradedNDCG64-SF-GaussianMismatch755,3,19.28,19.01,19.7,19.330000000000002,0.347706773014273,19.01,4.230000000000002
qwen,LL-Graded,3,19.13,19.3,19.67,19.366666666666667,0.27610384519838554,19.13,4.2666666666666675
qwen,RL-BinaryNDCG64-CP,3,19.44,18.64,19.65,19.243333333333332,0.5329477773040551,18.64,4.143333333333333
qwen,RL-GradedNDCG64-SF-Align065,3,19.47,18.75,18.87,19.03,0.38574603043971734,18.75,3.9300000000000015
qwen,RL-MRR64-CP,3,19.33,19.36,19.44,19.376666666666665,0.05686240703077476,19.33,4.2766666666666655
qwen,RL-GradedNDCG64-SF-Align053,3,18.23,18.97,19.34,18.846666666666668,0.5651843357112198,18.23,3.746666666666668
qwen,RL-GradedNDCG64-SF-Kappa755,3,18.46,18.78,19.31,18.85,0.42930175867331244,18.46,3.7500000000000018
qwen,RL-GradedNDCG64-SF-Align080,3,18.65,19.16,18.63,18.813333333333333,0.30038863715748937,18.63,3.713333333333333
qwen,RL-GradedNDCG64-SF-Norm,3,18.59,19.1,18.49,18.726666666666667,0.32715949219506724,18.49,3.626666666666667
qwen,RL-BinaryNDCG64-SF,3,18.33,18.88,19.07,18.759999999999998,0.3843175770115136,18.33,3.6599999999999984
qwen,RL-GradedNDCG64-SF-NoRescale,3,18.57,18.96,18.16,18.563333333333333,0.40004166449675416,18.16,3.463333333333333
qwen,RL-GradedNDCG64-CP-Align040,3,18.93,18.74,18.81,18.826666666666664,0.09609023536933116,18.74,3.726666666666665
qwen,RL-GradedNDCG64-SF,3,18.23,18.85,18.53,18.53666666666667,0.3100537587795601,18.23,3.436666666666669
qwen,RL-GradedNDCG64-SF-Anneal080090,3,18.43,18.78,18.79,18.666666666666668,0.2050203241957573,18.43,3.566666666666668
qwen,RL-GradedNDCG64-SF-Align098,3,17.15,18.58,18.62,18.116666666666667,0.8373967598058488,17.15,3.0166666666666675
qwen,RL-GradedNDCG64-SF-Align095,3,18.37,18.58,17.35,18.1,0.6579513659838381,17.35,3.0000000000000018
qwen,RL-GradedNDCG64-SF-Paired,3,17.57,18.47,17.85,17.963333333333335,0.46057934531775574,17.57,2.863333333333335
qwen,CL,3,17.87,17.04,18.25,17.72,0.6187891401761999,17.04,2.619999999999999
qwen,RL-GradedNDCG32-SF,3,17.98,18.07,17.55,17.866666666666667,0.2779088579612626,17.55,2.7666666666666675
qwen,RL-GradedNDCG64-SF-Align040,3,16.77,17.65,17.31,17.243333333333332,0.44377171308380264,16.77,2.1433333333333326
qwen,DR-GradedNDCG64-SF,3,17.57,17.43,17.57,17.523333333333333,0.08082903768654794,17.43,2.423333333333334
qwen,RL-GradedNDCG64-SF-DPolicy,3,17.4,16.64,17.05,17.03,0.38039453203220375,16.64,1.9300000000000015
qwen,RL-GradedNDCG64-SF-DocMean,3,17.01,16.78,16.39,16.726666666666667,0.31342197327777394,16.39,1.626666666666667
qwen,RL-GradedNDCG64-SF-NormDocMean,3,16.78,16.58,16.48,16.613333333333333,0.15275252316519528,16.48,1.5133333333333336
qwen,LL-Binary,3,15.87,16.05,16.63,16.183333333333334,0.39715656022950574,15.87,1.083333333333334
qwen,RL-GradedNDCG64-SF-QPolicy,3,16.13,16.63,15.93,16.23,0.3605551275463986,15.93,1.1300000000000008
qwen,E0,1,,,,15.1,,15.1,0.0
diver,E0,1,,,,23.12,,23.12,0.0
diver,RL-Graded,3,22.44,22.84,22.71,22.663333333333334,0.2040424792373712,22.44,-0.456666666666667
diver,LL-Graded,3,21.56,21.23,21.26,21.35,0.18248287590894532,21.23,-1.7699999999999996
diver,CL,3,19.51,19.43,19.59,19.51,0.08000000000000007,19.43,-3.6099999999999994
