family,left,right,seed42,seed3407,seed2026,mean_delta,sample_sd_delta,positive_seeds,positive_domains
qwen,RL-GradedNDCG64-CP,RL-GradedNDCG64-SF,2.039999999999999,2.299999999999997,2.219999999999999,2.186666666666665,0.133166562369587,3,8
qwen,RL-GradedNDCG64-CP-Align040,RL-GradedNDCG64-SF-Align040,2.16,1.0899999999999999,1.5,1.5833333333333333,0.5398456569551463,3,9
qwen,RL-GradedNDCG64-CP-Align053,RL-GradedNDCG64-SF-Align053,2.039999999999999,0.9299999999999997,1.120000000000001,1.3633333333333333,0.5936609582357026,3,9
qwen,RL-GradedNDCG64-CP-Align065,RL-GradedNDCG64-SF-Align065,0.9800000000000004,1.75,1.8200000000000003,1.5166666666666668,0.4660829682935574,3,8
qwen,RL-GradedNDCG64-CP-Align080,RL-GradedNDCG64-SF-Align080,2.0600000000000023,1.8200000000000003,1.9499999999999993,1.943333333333334,0.12013880860626827,3,8
qwen,RL-GradedNDCG64-CP-Align095,RL-GradedNDCG64-SF-Align095,1.9899999999999984,2.25,3.129999999999999,2.4566666666666657,0.5974389787529212,3,10
qwen,RL-GradedNDCG64-CP-Align098,RL-GradedNDCG64-SF-Align098,3.0700000000000003,1.6500000000000021,1.4800000000000004,2.0666666666666678,0.8730597535869652,3,9
qwen,RL-GradedNDCG64-CP-Anneal080090,RL-GradedNDCG64-SF-Anneal080090,2.1499999999999986,2.1099999999999994,2.150000000000002,2.1366666666666667,0.023094010767585563,3,8
qwen,RL-GradedNDCG64-CP-NoRescale,RL-GradedNDCG64-SF-NoRescale,1.2800000000000011,0.5999999999999979,1.5799999999999983,1.1533333333333324,0.5021288015373485,3,9
qwen,RL-MRR64-CP,RL-MRR64-SF,0.7899999999999991,-0.4200000000000017,-0.4299999999999997,-0.020000000000000757,0.7014983962918232,1,6
qwen,RL-BinaryNDCG64-CP,RL-BinaryNDCG64-SF,1.110000000000003,-0.23999999999999844,0.5799999999999983,0.4833333333333343,0.6801715469889444,2,6
qwen,RL-GradedNDCG32-CP,RL-GradedNDCG32-SF,2.629999999999999,2.629999999999999,2.34,2.5333333333333328,0.16743157806499098,3,9
qwen,RL-GradedNDCG32-CP,RL-GradedNDCG64-CP,0.33999999999999986,-0.4499999999999993,-0.8599999999999994,-0.323333333333333,0.609945352743451,1,1
qwen,RL-GradedNDCG32-SF,RL-GradedNDCG64-SF,-0.25,-0.7800000000000011,-0.9800000000000004,-0.6700000000000005,0.3772267222772006,0,2
qwen,RL-GradedNDCG64-CP,LL-Graded,1.1400000000000006,1.8499999999999979,1.0799999999999983,1.3566666666666656,0.4282911782109604,3,9
qwen,RL-GradedNDCG32-CP,LL-Graded,1.4800000000000004,1.3999999999999986,0.21999999999999886,1.0333333333333325,0.7055021852080502,3,9
qwen,RL-GradedNDCG64-CP-Align080,E0,5.610000000000001,5.880000000000001,5.479999999999999,5.656666666666667,0.20404247923737276,3,9
qwen,RL-GradedNDCG64-CP-Align080,LL-Graded,1.5800000000000018,1.6799999999999997,0.9099999999999966,1.3899999999999995,0.4186884283091687,3,9
qwen,RL-GradedNDCG64-CP-Align080,CL,2.84,3.9400000000000013,2.3299999999999983,3.0366666666666666,0.8228203530135455,3,11
qwen,RL-GradedNDCG64-SF-Paired,RL-GradedNDCG64-SF,-0.6600000000000001,-0.38000000000000256,-0.6799999999999997,-0.5733333333333341,0.16772994167212013,0,2
qwen,RL-GradedNDCG64-SF-QPolicy,RL-GradedNDCG64-SF,-2.1000000000000014,-2.2200000000000024,-2.6000000000000014,-2.3066666666666684,0.2610236260060251,0,1
qwen,RL-GradedNDCG64-SF-DPolicy,RL-GradedNDCG64-SF,-0.8300000000000018,-2.210000000000001,-1.4800000000000004,-1.5066666666666677,0.6903863652574062,0,4
qwen,RL-GradedNDCG64-SF-Norm,RL-GradedNDCG64-SF,0.35999999999999943,0.25,-0.0400000000000027,0.18999999999999892,0.2066397831977195,2,7
qwen,RL-GradedNDCG64-SF-DocMean,RL-GradedNDCG64-SF,-1.2199999999999989,-2.0700000000000003,-2.1400000000000006,-1.8099999999999998,0.512152321092076,0,1
qwen,RL-GradedNDCG64-SF-NormDocMean,RL-GradedNDCG64-SF,-1.4499999999999993,-2.270000000000003,-2.0500000000000007,-1.9233333333333344,0.4244211744639219,0,1
qwen,RL-GradedNDCG64-SF-NoRescale,RL-GradedNDCG64-SF,0.33999999999999986,0.10999999999999943,-0.370000000000001,0.0266666666666661,0.3622614157391505,2,6
qwen,RL-GradedNDCG64-SF-Anneal080090,RL-GradedNDCG64-SF,0.1999999999999993,-0.07000000000000028,0.259999999999998,0.129999999999999,0.17578395831246874,2,5
qwen,RL-GradedNDCG64-CP-NoRescale,RL-GradedNDCG64-CP,-0.41999999999999815,-1.5899999999999999,-1.0100000000000016,-1.0066666666666666,0.5850071224637649,0,2
qwen,RL-GradedNDCG64-CP-Anneal080090,RL-GradedNDCG64-CP,0.3099999999999987,-0.259999999999998,0.19000000000000128,0.08000000000000067,0.30049958402633303,2,7
qwen,RL-GradedNDCG64-CP-Align080,RL-GradedNDCG64-CP,0.4400000000000013,-0.16999999999999815,-0.1700000000000017,0.033333333333333805,0.35218366420567243,1,5
qwen,RL-GradedNDCG64-SF-GaussianMismatch755,RL-GradedNDCG64-SF-Kappa755,0.8200000000000003,0.23000000000000043,0.39000000000000057,0.4800000000000004,0.305122926047847,3,10
qwen,DR-GradedNDCG64-SF,E0,2.4700000000000006,2.33,2.4700000000000006,2.423333333333334,0.08082903768654794,3,9
qwen,DR-GradedNDCG64-SF,RL-GradedNDCG64-SF-QPolicy,1.4400000000000013,0.8000000000000007,1.6400000000000006,1.2933333333333341,0.4387862045841156,3,9
diver,RL-Graded,E0,-0.6799999999999997,-0.28000000000000114,-0.41000000000000014,-0.456666666666667,0.2040424792373712,0,6
diver,LL-Graded,E0,-1.5600000000000023,-1.8900000000000006,-1.8599999999999994,-1.7700000000000007,0.18248287590894532,0,2
diver,CL,E0,-3.6099999999999994,-3.6900000000000013,-3.530000000000001,-3.6100000000000008,0.08000000000000007,0,2
diver,RL-Graded,LL-Graded,0.8800000000000026,1.6099999999999994,1.4499999999999993,1.3133333333333337,0.3837099599089551,3,10
diver,RL-Graded,CL,2.9299999999999997,3.41,3.120000000000001,3.1533333333333338,0.2417298767908787,3,10
